zi,N
滑,17
沸,2
跳,10
闭,22
幕,25
鹰,4
练,62
校,119
当,239
玻,13
璃,13
艺,46
迁,11
逆,14
牺,7
牲,7
隐,72
忧,9
赶,22
低,136
毫,15
障,99
短,128
缺,112
烦,8
恼,3
措,59
锻,5
战,300
略,62
欧,27
洲,20
圣,3
诞,9
礼,9
包,115
抢,42
旧,19
拒,10
阪,3
妇,7
没,115
瓦,10
所,245
等,501
待,63
逊,3
罢,2
求,210
薪,10
酬,6
租,215
缔,4
扩,58
该,103
切,68
账,29
簿,8
率,145
纳,26
批,84
增,166
配,196
试,133
巯,22
嘌,22
呤,22
恢,17
复,88
背,46
临,70
床,31
润,34
姻,3
流,174
轿,6
冲,38
桥,32
驾,78
驶,33
失,72
男,19
酒,52
遭,31
属,55
女,107
摔,11
控,113
判,68
迎,26
降,62
温,39
今,183
找,32
值,81
注,198
形,120
瑜,1
伽,1
姿,8
势,113
确,167
星,33
畏,2
浮,6
测,91
板,84
央,130
企,328
刺,15
期,318
块,55
沪,29
震,21
荡,9
稳,68
构,151
显,163
土,105
亩,12
幻,1
植,26
物,169
昆,26
虫,24
争,88
验,121
室,41
魔,4
季,48
硫,1
研,232
究,159
功,80
碳,51
授,22
刘,47
怀,15
舱,23
射,34
升,209
戏,22
移,64
伙,22
伴,17
告,167
函,11
赁,86
或,131
权,105
算,64
充,119
迅,20
续,159
言,55
堂,27
始,89
位,290
吃,57
岁,41
姑,1
娘,1
赛,38
摘,6
识,99
烧,20
却,51
还,241
巢,13
族,40
添,7
丁,11
颠,5
覆,32
否,44
除,75
白,45
皱,1
纹,2
和,904
花,57
几,95
汇,40
崛,8
厉,9
衡,13
必,85
须,60
碰,13
硬,22
换,37
此,229
到,607
暴,19
额,82
贷,37
钟,23
尽,45
驻,32
织,84
炮,20
弹,31
貌,6
揭,6
志,26
存,107
脚,15
踏,8
独,25
贸,35
级,213
末,15
逾,6
币,21
价,270
净,22
筹,26
纪,44
碑,5
质,152
窘,2
准,133
承,101
继,69
曲,17
松,28
毛,6
岭,3
恋,1
汀,1
缘,12
惨,9
损,38
乒,1
输,41
底,72
蕴,3
垮,2
足,59
炉,14
罗,56
比,209
因,185
徒,9
刑,36
骥,1
伏,14
枥,1
芮,2
乃,6
夺,16
冠,41
叶,16
映,22
峡,7
持,221
备,158
税,45
店,122
厅,46
范,131
买,82
磅,4
货,53
运,159
睛,4
坊,7
陆,65
涂,8
奖,67
佳,34
著,32
香,52
烈,29
葡,16
促,46
肥,14
诗,10
拼,10
受,185
魅,4
挤,9
永,14
漆,31
榜,9
选,88
减,52
假,63
释,35
症,21
接,181
连,89
倒,36
酝,4
酿,4
套,34
满,63
苗,36
诚,19
许,70
艳,6
梅,12
吕,49
鑫,11
阵,13
送,81
砥,6
砺,8
梁,49
奶,80
粉,97
宽,31
限,120
优,132
牛,97
肉,80
销,190
终,103
休,12
餐,69
掀,5
返,19
迪,16
字,94
英,25
柴,16
奏,6
宗,34
宅,32
溢,21
淡,7
昔,3
薄,12
紫,4
阁,2
编,52
残,16
链,19
律,50
顾,38
听,17
认,161
原,166
色,85
零,44
营,148
盛,25
洪,16
液,11
晶,4
适,28
屏,11
趋,30
鸟,3
隆,5
吋,11
庭,45
音,23
其,317
桎,1
梏,1
迄,2
它,28
既,25
处,135
潜,25
觉,29
撼,3
域,155
累,41
申,42
请,81
均,88
随,106
盖,35
景,49
凭,10
拓,26
擎,2
洋,27
欢,13
厂,74
巨,21
愿,31
草,14
辑,28
负,108
责,151
容,85
稿,8
撰,4
写,33
熟,21
悉,31
章,16
希,41
龄,24
良,38
件,175
扎,13
较,142
压,67
栏,23
秀,32
悟,4
念,52
苦,15
耐,10
劳,8
勤,9
恳,2
虑,18
丰,36
践,18
类,109
软,22
析,67
岗,27
拜,17
馈,7
拥,13
断,91
逻,4
积,112
徐,18
阐,4
想,113
把,76
豪,18
凡,10
嘉,17
宾,5
齐,32
典,23
绎,5
誉,14
而,246
倾,7
夜,14
虚,13
阔,5
式,190
绚,1
丽,7
鸣,5
彰,9
袖,4
抱,6
胸,3
诠,2
刻,23
寄,6
帜,9
握,23
飘,4
扬,19
塑,8
召,33
誓,2
顶,28
讨,20
献,25
恩,9
描,18
绘,4
仅,84
帮,28
携,12
靳,7
瞩,1
沉,19
尊,22
赠,4
她,42
鼓,35
寻,16
迈,17
鲜,39
谋,13
涵,16
递,25
义,113
吸,32
针,52
置,75
浸,2
舒,2
氛,4
围,71
卓,7
然,168
饰,4
兼,5
皮,8
椅,7
摆,11
础,64
囊,4
溃,6
缩,16
柱,6
防,121
撞,19
盲,4
惯,13
操,40
匹,4
澎,2
湃,2
巡,9
鼎,3
矩,5
渠,25
硕,6
归,17
预,96
浩,7
罕,2
纷,17
牢,19
命,80
由,163
玛,4
奈,6
透,28
辛,12
泪,1
腔,2
血,15
轻,39
述,39
伍,17
左,38
又,67
己,64
担,67
勉,2
励,37
右,40
驰,2
骋,1
早,39
晤,7
杨,40
邀,12
午,33
舷,3
梯,14
暄,1
毯,4
侧,30
逢,3
惠,26
谊,10
厚,17
即,80
祉,2
纲,6
签,31
祝,5
边,56
戴,12
韦,5
杰,9
夫,12
契,9
脑,18
抓,27
赢,15
竞,54
紧,59
耗,17
殆,1
够,31
撑,19
催,8
绕,17
固,31
树,28
攻,40
伐,5
泛,15
奠,2
则,79
弥,5
挥,79
靠,35
占,78
干,64
臻,1
私,23
径,22
遵,9
循,12
铜,5
纤,1
逐,53
况,98
侦,28
估,19
灾,41
沿,19
渡,12
嵌,4
仪,24
拟,20
瞻,2
骤,3
浏,4
览,12
栈,2
择,48
滚,12
淘,12
汰,8
芯,2
咨,18
询,34
养,54
绩,46
跟,33
踪,10
秩,6
序,50
寺,6
赵,21
喆,2
脱,11
恰,10
败,24
虽,39
穷,6
途,45
但,214
依,59
避,20
尾,13
踞,6
剿,8
卡,36
勒,7
剩,10
漠,8
壤,3
谢,12
逃,6
散,33
勇,24
姆,22
裂,8
滋,15
蔓,2
束,20
灰,14
庄,25
拆,8
毁,10
沃,5
阻,13
米,86
赫,2
似,36
矛,7
盾,10
混,7
趁,2
坐,25
惕,2
鲁,6
灭,10
遣,1
番,5
宿,16
敌,10
抗,20
愈,11
诛,1
笔,31
抨,1
暗,3
含,20
轮,44
郑,16
晗,2
伦,5
帅,2
朋,14
穆,3
丧,3
害,47
捍,3
笛,1
坦,10
桑,6
郊,7
舟,9
船,80
洗,9
碧,6
舰,24
艇,8
缓,28
诊,27
遍,46
痛,16
肿,5
瘤,5
莎,1
贝,6
躺,2
忙,18
衷,3
籍,10
例,77
枚,10
械,10
肆,2
虐,8
坝,6
叫,14
挡,4
汹,1
涌,4
忠,4
贞,2
渝,2
畔,4
黎,9
嫩,4
蜿,1
蜒,1
附,26
雷,26
埋,5
遗,12
晒,2
雨,11
淋,6
危,24
赴,10
湛,2
扫,20
辟,6
异,21
雇,1
曾,45
诀,1
距,20
触,24
努,16
敬,12
截,58
舶,5
艘,12
盗,4
乎,26
伞,2
麦,6
素,47
隔,15
挑,20
雄,3
冉,2
急,47
罪,76
跨,14
睹,4
莫,7
磊,2
摧,3
炒,15
抑,5
尤,34
辣,3
捏,2
遏,9
厦,10
汉,40
旋,8
且,40
槛,13
婚,4
剑,5
钻,2
珠,5
猛,10
诉,46
诺,9
迟,2
劣,6
符,27
抉,1
沈,9
佛,12
肇,7
挂,29
剥,2
凑,1
赋,7
予,20
宋,14
渐,22
抽,7
泡,22
沫,5
梳,3
肖,5
捷,8
债,18
削,6
弱,18
玉,6
衔,6
很,131
轨,21
邓,1
喘,3
歇,6
坑,7
邹,1
俭,1
朴,3
妙,2
若,29
猫,25
腻,1
掉,11
吞,5
酷,2
狗,12
拨,4
姓,14
挺,7
俑,1
档,16
欠,9
喜,18
令,29
缠,1
惑,9
忍,3
漂,6
静,5
暇,1
馨,1
您,7
坎,1
坷,1
漫,9
踢,2
甜,4
祥,6
捆,1
绑,5
删,1
铭,2
孔,4
醒,20
熏,3
浓,12
氏,16
寓,17
晓,15
烤,4
碎,17
凌,14
缆,2
狼,7
藉,4
呛,1
尘,5
墙,11
壁,7
屋,26
状,28
玩,6
纸,16
盒,14
材,75
料,108
沾,1
炭,15
倪,3
茂,13
绍,61
窜,2
差,27
灼,1
氧,9
偶,5
割,7
仓,7
卧,2
堆,8
督,37
毅,7
饭,10
旦,13
斥,2
街,31
摸,17
舍,10
蜘,3
蛛,4
疏,11
诸,12
堪,7
悸,2
躁,2
搬,19
暂,15
纠,8
细,49
役,11
唤,11
唐,6
耳,9
封,13
锁,15
默,8
森,4
露,35
菲,5
蒂,3
洛,4
钦,6
污,22
染,19
暨,5
秋,8
吨,14
钩,5
缜,2
缴,15
冰,14
斤,18
斩,7
泄,5
殷,10
墟,10
卜,3
懿,3
忆,17
雅,7
俱,17
秦,5
龟,4
兽,6
宫,9
墨,11
郭,17
旭,9
屯,4
乍,1
掘,27
篆,1
隶,1
楷,1
稚,1
抒,1
泥,14
楔,1
雕,2
憾,1
谜,2
脉,3
盎,1
寡,1
尴,3
尬,3
婀,1
娜,3
臂,2
叉,4
慈,2
跽,1
跪,2
俗,2
斋,1
掌,14
妈,7
悬,6
赏,9
译,11
鉴,7
辍,2
乏,11
贤,7
迷,10
筛,9
泸,1
磨,5
拔,12
楚,9
横,9
淄,2
铺,13
纵,8
仿,7
愁,5
栋,5
魄,2
魂,3
淮,4
涣,3
壶,2
濉,1
溪,2
豫,1
皖,1
埠,1
饮,30
聊,7
怡,4
梗,1
棒,5
汤,13
木,22
桌,8
粗,2
砂,2
碗,5
芬,10
芳,5
朝,25
慕,1
摩,8
昌,7
孵,8
曼,2
屿,2
绿,17
卵,3
杜,24
邢,1
芦,1
摇,9
曳,1
灯,8
蔚,1
廓,2
雍,1
仲,6
唃,1
厮,1
啰,1
湟,3
吐,4
浑,2
蕃,1
嘶,2
绸,6
矿,26
沼,1
泽,4
宜,7
填,9
朱,12
黔,4
侗,1
崖,1
潭,3
嬉,1
蛋,20
旬,7
田,13
栖,3
觅,1
晨,9
芝,7
废,9
堵,9
靖,2
姚,3
违,46
抚,6
恤,1
葬,1
陇,1
骗,1
贴,25
伸,7
酪,1
廉,9
坏,18
蝇,2
仰,2
诱,4
铤,2
另,55
敛,1
宏,11
遮,1
丑,2
峻,4
杂,22
敢,12
笼,3
糕,2
慑,1
侥,1
蓬,10
勃,4
卢,2
傍,3
某,70
恶,6
虎,18
猥,2
亵,2
括,44
瞬,3
噬,2
储,15
炬,2
狭,3
摞,2
插,5
冒,7
麻,11
兄,13
弟,18
母,20
羁,4
钢,20
狱,7
墓,4
赊,1
逼,15
掩,1
霸,2
垄,2
欺,3
鞍,4
翻,7
卸,1
俩,2
伺,1
拦,5
裴,3
叠,1
凳,2
掏,2
尖,7
刀,12
劫,2
撤,8
辖,5
疯,1
狂,1
追,26
讼,2
衅,3
妨,2
辆,40
冻,6
巍,1
昨,26
疫,9
杆,12
菌,1
疾,19
垫,6
瓷,10
捞,11
腊,1
柬,1
埔,3
寨,3
钳,1
镯,1
艏,1
鱼,11
鳞,1
淤,1
釉,2
枝,6
卉,1
芒,2
崔,7
亦,9
荷,1
莱,8
茵,1
堡,1
谁,14
呢,15
般,18
脂,1
肪,1
泳,5
池,10
塔,9
窑,8
乳,18
钉,1
罐,2
岩,4
昭,1
嘲,1
甚,40
嶙,1
峋,1
窟,1
陶,9
骸,1
铅,24
竹,1
彤,1
霾,1
蒸,3
锅,10
氮,7
寇,1
钗,2
晖,2
概,15
揽,5
鞭,12
姜,3
闪,7
稠,1
枢,2
纽,2
缝,3
邻,3
鸡,14
丘,2
堰,2
赣,3
敦,2
冈,1
滨,18
衢,2
邵,2
攀,7
柳,3
俊,5
允,5
殊,22
艰,11
垂,7
淀,2
吴,6
勿,3
拗,1
劲,10
迭,5
偏,8
伯,2
夹,1
棋,3
晰,4
吹,1
刃,1
盼,7
撬,2
霖,3
盯,5
腾,7
殖,3
栽,2
粮,5
御,9
弃,11
擅,6
掠,2
鲸,2
垦,2
凉,3
兜,3
跤,1
拳,20
灵,10
摁,1
妖,1
搏,5
厢,1
吁,1
敞,2
豁,1
旁,5
谓,13
崇,3
庙,1
闹,7
啡,2
祈,1
顺,27
缅,2
逝,3
跋,1
井,14
瑞,7
丢,3
谐,4
蹲,1
逞,3
淑,8
丈,1
愤,1
冗,1
句,5
歉,2
谴,3
藐,2
奸,1
顽,2
亏,4
戒,5
彬,1
塞,8
邦,9
瑟,2
妻,4
顿,5
缉,1
瘾,1
君,3
辜,1
哀,2
悼,1
挚,2
眸,2
潇,2
锐,5
肝,4
辱,1
侨,10
篇,8
涓,2
瘫,14
癫,12
痫,12
惟,4
谱,7
贺,8
弘,11
弄,3
帆,2
澜,1
钙,5
矢,1
秉,4
胞,15
偷,6
诤,1
奉,8
吓,13
裕,3
冶,1
靡,1
邱,1
蒋,7
翰,3
珍,7
巧,4
胶,2
琴,5
萌,1
讶,1
绪,3
萦,1
裔,1
稀,4
濒,1
羚,1
羊,1
牦,1
驴,1
蹄,1
帖,1
脆,2
仗,11
歼,1
蓄,1
闫,9
拾,3
戟,1
颜,2
耻,2
髓,3
叹,2
疤,1
搁,1
倘,5
鸿,1
廊,3
猎,1
僚,2
朵,4
辩,6
蜕,1
疲,5
惫,2
晋,5
挖,8
稍,5
懈,4
皆,2
捧,2
扰,3
磁,2
郝,1
炯,1
翁,2
萍,2
跻,3
盐,2
窝,3
赟,4
睡,5
趿,1
拖,10
鞋,6
脸,11
慌,3
欲,15
坠,3
歪,2
碌,3
框,7
僵,2
孕,1
笃,1
旨,16
瞄,6
浆,2
昂,4
罹,2
羞,1
啸,1
厕,2
挨,1
滥,3
喀,1
楠,5
匿,3
渗,3
萄,8
昏,1
糊,2
缪,2
稻,2
菜,25
憧,1
憬,1
肋,2
竟,8
尝,5
颓,3
筋,3
炖,1
煨,1
葱,3
拌,4
阀,1
滤,2
郁,2
熬,1
椒,4
豚,3
藤,3
煮,5
萃,1
蕾,5
黏,2
酸,9
哄,2
搞,9
嗜,1
颇,4
甄,3
蔬,9
郎,1
饼,1
羹,1
鼠,1
饿,5
灶,1
酱,5
醋,1
贾,5
榴,1
莲,2
戚,2
肯,13
瓢,1
盆,2
琅,1
琳,4
岱,2
挫,2
盈,14
倍,11
摊,4
兆,3
灸,2
粤,7
斌,5
刷,3
泵,1
浇,2
枫,7
哭,2
烹,2
饪,2
瓶,12
匀,7
缸,1
仁,10
孜,2
灿,3
烂,2
砍,1
竖,2
崭,1
棚,3
帘,1
闸,3
粪,2
饲,7
蔫,1
咋,1
哩,1
纯,6
翼,4
冯,1
辞,14
遥,3
贿,26
赂,4
挽,2
喻,1
琢,1
剪,5
串,9
钥,15
匙,15
赃,1
屉,1
腿,15
桶,2
眯,1
咐,1
劝,6
锋,8
揣,1
卦,2
剖,1
褚,6
伪,14
昵,1
捉,3
彼,1
篡,2
挟,1
捕,5
挣,2
煜,1
涛,2
欣,21
绳,4
燕,2
棠,1
凸,7
佼,1
渴,2
湿,2
晴,4
辐,4
抛,12
垃,13
圾,13
扔,11
艾,14
猩,22
婿,11
岳,11
葩,11
抄,12
鹈,11
鹕,11
饥,12
嘴,11
宠,13
傻,11
爸,11
娃,11
逮,2
胖,1
泌,4
幽,5
忽,9
悍,6
详,18
哮,1
庚,2
咽,3
喉,3
颈,4
窦,1
贮,4
汁,4
胰,2
赤,3
轧,3
蟑,6
螂,6
溜,4
屈,4
痔,2
疮,2
痢,2
脏,4
腑,1
疼,2
肩,5
页,2
麟,2
邬,2
铨,2
骄,3
帕,1
谅,2
饶,1
钰,2
昉,1
鞠,1
盱,2
眙,2
杉,1
衬,1
枣,1
灌,4
匮,1
溉,2
牟,1
汲,1
蒲,1
宴,1
泊,2
昊,6
霄,1
涯,1
擦,8
靴,1
茧,1
蝶,3
弯,4
刹,3
抬,3
娴,1
螺,3
桨,1
泓,1
汝,1
蛟,1
尹,3
鄂,2
炼,11
飙,2
乙,11
烯,2
绷,1
爬,2
肌,1
碍,5
巷,5
奔,1
坍,1
宛,1
兖,1
驳,2
窄,1
酗,1
炽,1
柜,7
晃,1
痪,1
瓜,1
帚,1
潘,3
轩,1
剂,8
霉,4
撮,7
氨,2
苯,2
砜,2
酚,3
磺,3
胺,4
袁,1
硝,2
鲨,1
肾,1
腺,4
畅,2
遴,2
畿,1
炳,2
羽,1
诫,2
帽,2
婴,41
裤,1
皇,5
绒,1
膜,2
鲑,1
趟,2
刮,6
裹,2
葵,1
祸,2
醉,1
剐,4
婷,25
陪,1
悔,1
喊,4
讹,2
畴,1
呀,1
薛,4
诈,1
煦,1
坨,1
弊,8
亟,2
岿,1
辈,2
竭,2
倦,4
怠,3
呆,1
歧,2
茅,1
荀,1
琥,2
蝉,15
舌,2
燥,1
茎,3
吮,1
饱,3
蹂,1
躏,1
褪,1
株,1
枯,1
扯,1
嗓,2
厌,1
聋,1
狄,2
聪,3
锦,6
猪,1
丛,1
粘,1
胃,1
惧,1
鲍,1
凶,1
缤,1
氢,1
炔,2
隙,2
掺,1
溶,1
袋,4
逸,6
豆,4
锤,3
钎,3
凿,3
脊,3
绵,3
陌,1
锆,4
钛,4
钡,4
敲,1
轴,1
漱,1
陀,1
睿,3
琼,1
蚂,3
蚁,3
呗,4
狐,1
娟,1
苹,3
乔,1
糙,1
榷,1
睐,1
怜,1
浪,1
庞,4
剔,2
舸,1
翅,3
扼,2
撕,1
靶,4
狙,1
遂,2
痕,4
蜂,2
鹑,1
咫,1
尺,2
琐,2
膀,1
撸,1
箭,1
锈,2
呕,1
沥,1
淌,1
甸,2
坞,5
焊,1
吊,1
慨,2
苛,2
铀,3
蛇,1
彭,2
棉,1
胀,2
贬,4
咎,1
洼,1
砖,1
杠,3
渤,1
骅,1
铝,1
桂,5
晟,7
啊,2
凋,1
書,1
萬,1
紀,2
兩,10
開,3
親,1
團,3
圓,3
視,2
頻,3
導,1
絕,2
狀,2
態,2
啟,1
間,2
長,1
終,1
門,1
來,1
關,1
係,1
發,3
歷,3
證,1
勢,2
趨,2
國,3
統,1
個,4
運,1
軌,1
跡,1
縮,1
為,1
復,1
華,1
網,1
臺,1
灣,1
製,1
過,1
歡,1
離,1
現,1
屬,1
於,1
時,1
記,1
憶,1
晏,1
绣,1
淇,1
鹏,4
闷,2
珊,2
谎,1
戳,1
瑶,1
斜,2
扇,4
甩,1
哲,2
萎,4
怨,2
霜,2
刽,1
槽,2
夕,2
箔,1
壳,3
瓣,1
柏,1
苍,2
凹,1
伫,1
矫,1
裱,1
邂,1
逅,1
瀛,1
曹,7
禀,1
宕,2
仇,1
吏,1
瞪,2
龚,1
洒,1
馗,1
骚,1
巩,2
徇,1
睽,2
揪,1
乾,1
掣,2
肘,2
妥,2
崩,1
谣,1
妆,1
茁,5
谭,3
廷,1
懋,1
曦,6
呵,2
跆,1
傲,3
綦,1
涪,1
苑,3
辫,1
爽,1
嫂,1
璧,1
婉,1
婆,4
呱,1
仔,2
撒,2
粹,1
涤,1
挎,1
绞,1
哑,1
攒,1
孝,2
赈,1
荏,1
苒,1
庇,1
缭,1
汪,1
抹,1
煎,1
逗,1
腩,1
喂,3
宰,1
伎,1
宵,1
膨,1
菊,1
鲤,1
桩,3
秣,1
莞,2
玮,2
莹,2
嚎,1
陋,1
熄,2
胎,1
惜,1
硅,1
镑,3
浦,3
咙,1
鹜,1
昱,3
禾,7
禹,1
亭,2
舵,1
钹,1
樊,7
槐,3
骏,2
宸,2
窥,1
赌,1
猜,2
禧,1
