zi,N
结,71
搭,10
功,28
利,130
微,13
略,28
现,160
积,19
极,27
使,79
历,42
识,29
向,120
介,23
绍,15
说,336
跃,11
仅,20
廉,3
甚,13
偏,6
已,177
货,27
收,43
素,11
移,21
熟,9
由,111
相,132
较,42
慢,6
费,52
仍,45
然,117
倾,4
购,27
虽,38
惯,10
例,26
八,30
千,6
禧,1
辈,4
像,17
衔,4
接,132
桥,9
梁,8
跟,21
双,45
顺,24
入,139
候,45
感,58
很,114
欣,7
慰,2
样,64
掌,16
握,10
击,85
里,96
府,268
三,308
镇,140
试,157
觉,142
始,178
票,160
搜,125
受,196
乌,14
吸,14
引,82
唯,8
考,30
虑,20
招,15
层,35
楼,13
均,13
尺,10
续,84
九,38
根,56
今,153
建,97
筑,12
没,118
另,48
黄,53
号,32
歌,5
铁,70
附,24
隔,19
邻,16
紧,29
史,25
麦,11
唐,1
纳,63
厦,4
占,18
英,74
决,122
必,62
尽,34
呈,5
书,48
质,26
估,16
支,88
鼓,17
励,16
概,9
念,25
包,74
环,24
筹,7
裁,27
胡,12
晨,15
透,56
露,33
修,37
缮,1
番,5
希,80
望,74
办,34
搞,4
暂,18
命,45
才,59
细,21
慈,8
限,41
该,119
做,82
汇,12
析,49
钱,8
邦,22
魏,1
仕,1
研,43
究,42
沈,3
振,10
伦,21
指,182
那,40
段,30
靠,16
装,44
笔,4
室,13
狮,35
城,38
旁,16
址,3
项,71
目,151
盈,3
且,28
担,39
借,17
含,23
蓄,3
设,66
语,11
章,12
篇,1
福,14
群,25
绩,19
课,15
己,52
叙,8
宣,72
捐,10
赠,5
几,43
乎,17
怀,8
急,17
归,14
类,43
独,30
董,26
托,29
亿,54
旨,7
荣,11
负,42
责,52
团,51
哪,8
欠,5
缺,13
源,50
薄,1
长,264
弥,1
口,51
衰,3
退,23
龄,42
参,65
宴,1
夫,73
赛,244
久,20
界,104
风,51
险,30
整,46
乘,23
抵,11
询,16
趟,9
否,44
继,52
故,27
申,17
诉,56
耽,1
况,54
阶,14
规,56
碰,5
延,24
映,7
恢,12
复,44
正,124
穿,9
抢,9
厢,3
落,27
差,18
障,18
清,74
除,64
挤,7
忙,5
显,67
括,59
闸,1
闭,12
席,71
懋,1
则,85
画,6
器,58
涵,1
盖,16
范,19
围,32
扩,13
捷,4
住,58
旺,11
慧,13
曾,62
严,48
钟,17
底,23
什,27
么,41
兀,2
兰,37
郭,27
幼,58
却,34
木,9
授,9
李,52
德,81
纮,1
减,43
怨,5
援,48
毛,5
忠,7
安,160
兼,14
智,51
陞,3
昨,93
谢,7
截,11
止,32
惠,15
致,54
允,14
付,22
爱,20
扬,4
母,32
勇,12
毅,13
奉,3
献,3
依,22
缩,8
温,24
馨,2
充,11
照,32
亮,14
辅,3
适,13
话,44
七,32
治,112
恪,1
守,16
赴,3
琼,9
婆,1
暖,7
丈,10
幸,8
坚,16
抚,3
搬,18
檐,1
纪,26
叛,5
逆,5
祸,11
趁,2
妹,4
待,54
犹,2
亲,43
墨,3
岸,5
激,17
掉,8
乱,5
脾,2
坏,17
勤,9
奋,27
观,52
赏,1
精,25
彩,10
演,21
玩,7
戏,7
遭,60
混,4
凝,3
墙,8
压,38
脊,4
椎,2
织,79
携,10
返,27
孟,56
祥,12
初,29
匠,1
吊,2
慎,4
神,24
裂,8
轮,32
椅,3
侍,1
蔡,22
陈,36
笃,1
雇,3
拖,10
薪,3
似,26
临,24
破,26
序,20
讼,4
京,85
忘,6
记,79
坐,15
触,6
短,12
顶,8
永,7
残,10
鉴,6
丧,12
失,93
述,40
再,79
获,76
燃,6
眉,3
松,11
迟,12
耗,6
义,41
陪,13
飞,37
坦,15
遇,41
互,20
寻,15
配,21
旬,5
洗,29
太,38
嫌,27
晾,11
阳,22
光,27
碍,9
瞻,1
华,65
连,56
停,34
雅,23
片,24
床,4
袜,1
藤,2
摸,6
瓜,10
愿,33
姓,4
释,16
乡,10
湖,4
草,13
放,59
廊,4
刚,28
带,73
拿,16
郑,6
避,17
免,30
友,44
属,28
翻,21
胞,14
胎,10
貌,7
赖,3
彼,4
聊,4
圈,13
级,54
懂,2
何,72
朋,15
妮,2
思,20
祖,5
卵,1
稚,8
校,44
涯,11
扮,5
尤,16
译,4
轰,4
买,26
凶,3
怂,2
恿,2
炎,1
茶,4
余,14
饭,2
讨,22
谋,10
吕,13
伟,17
添,19
唆,2
梯,4
刀,5
刺,4
敏,10
颈,3
胸,1
腔,1
谕,1
官,66
形,21
纯,7
驯,1
笑,6
藏,3
冷,9
血,15
逼,6
毫,11
幕,13
押,10
斜,1
眼,18
审,18
刑,19
腾,26
达,120
良,8
犯,36
忏,1
悔,2
讲,34
溪,4
株,2
厂,22
套,5
头,39
绝,34
尘,3
竟,13
派,30
闹,3
剧,11
午,34
左,12
右,13
克,54
芝,4
轿,4
吃,14
餐,11
休,15
卡,35
姆,43
吓,8
赶,10
辆,38
腮,1
埋,3
伏,3
喊,2
声,53
黑,9
袋,10
蒙,5
图,26
抱,10
挣,6
扎,15
衡,2
摔,1
倒,11
状,30
扣,12
背,16
塑,1
绑,5
腕,1
扶,1
银,16
箱,5
罢,4
桩,1
察,47
阵,30
仗,9
悉,11
匪,4
拳,7
肉,1
架,11
阻,10
填,1
张,26
馆,15
肆,1
违,20
泊,2
稽,1
缔,2
罚,14
写,10
拨,15
患,60
症,32
婚,14
姻,1
碎,7
忍,7
馈,5
朱,11
毕,9
卫,38
响,39
幻,2
施,66
忆,6
忽,6
末,25
病,39
绪,9
听,15
沉,7
弃,13
疗,23
耻,5
倍,15
欲,3
符,13
批,32
猛,4
著,10
季,46
跌,4
丁,8
锐,2
降,13
吁,27
摩,2
哆,1
缓,8
味,20
欧,54
盟,72
柴,7
油,28
册,9
宽,7
脑,6
伊,33
芙,4
琳,1
瓦,51
族,55
验,27
诊,11
疾,5
型,31
颞,2
叶,5
乏,7
恶,21
氏,9
邱,2
拔,4
勿,6
邀,8
凯,18
悲,5
愤,6
愈,12
毙,1
予,14
权,79
抒,1
池,11
厝,4
党,142
循,6
岭,4
梓,2
铭,2
雨,5
绸,3
缪,1
茂,3
稳,6
固,12
础,20
聘,3
逐,14
圣,6
烈,15
角,15
盛,6
转,41
劲,5
刻,20
异,12
峙,7
核,47
鹏,4
耐,2
仪,3
伸,9
趣,2
菲,24
宾,8
尼,61
聆,1
斯,181
怖,27
维,45
害,43
泛,7
玲,1
绷,1
旦,6
揭,9
晓,3
裕,5
轴,3
纸,5
丽,12
梅,7
尧,1
兹,13
挥,18
浏,2
泉,16
古,41
甘,7
榜,10
泡,2
煮,2
蛋,2
栽,4
树,2
竣,1
届,36
沿,3
顷,2
咨,5
聚,7
桶,2
凳,2
浓,4
厚,4
朴,1
富,25
井,4
砖,1
石,9
咖,9
啡,9
渠,11
乙,1
钢,3
骨,3
泥,2
稀,2
瑰,1
宝,15
烫,1
鸡,1
珍,7
贵,24
吴,4
璇,1
错,15
厕,15
肾,19
竭,3
灵,7
腹,15
膜,16
徐,8
芳,7
脏,6
俗,8
称,85
按,11
牵,4
液,8
艰,4
佳,13
染,4
睡,11
眠,1
净,1
扰,17
阿,56
叔,6
腿,7
裙,2
捕,28
牢,9
耶,6
丹,4
贯,4
假,13
偷,3
淹,4
抛,7
锚,3
岂,4
盆,1
硬,7
膝,2
十,46
颇,2
损,25
疼,3
白,19
洛,12
北,109
妈,6
咳,5
嗽,5
婴,5
昏,4
醒,9
冒,8
柜,2
瓶,3
怪,3
怎,4
喂,3
呆,2
滞,3
惩,8
鞭,3
惨,10
窃,3
悍,2
掐,2
脸,8
夺,34
莫,12
哈,33
默,23
苏,47
诺,24
毒,4
泄,4
褥,1
凉,1
徘,2
徊,2
输,15
嫲,2
厅,5
乍,4
萌,1
歹,2
臂,1
睁,1
睛,1
跪,1
呼,31
捂,1
喉,2
咙,2
恼,1
羞,3
怒,6
颊,1
痛,11
迷,5
躺,3
脱,25
裤,2
射,29
擦,1
钥,1
匙,1
敢,10
簿,5
狠,3
吹,2
撂,1
嫁,2
算,19
贞,4
句,2
拍,17
谴,7
山,72
秒,5
灯,2
针,35
玛,6
莎,7
蒂,19
百,23
米,31
逸,17
肇,4
拦,2
踩,1
躲,3
凌,8
逮,15
抓,4
挂,6
沙,7
替,13
弹,71
练,18
召,16
敦,11
迅,7
釜,2
距,13
船,7
舶,1
侧,6
疫,2
武,61
帜,3
枪,19
亡,24
奈,13
寺,26
摧,4
毁,15
火,72
库,20
署,32
披,4
越,36
野,9
烧,15
祈,3
祷,4
徒,19
省,29
攻,31
歼,1
灭,5
塞,33
誓,9
枉,1
盘,20
踞,1
撒,3
督,9
堂,5
俄,46
伯,3
卑,1
鄙,1
懦,1
径,8
谁,5
束,22
雷,62
副,71
革,31
欢,13
执,61
雄,22
姿,2
畏,1
君,3
象,14
困,17
郊,3
蓝,44
墅,4
诚,8
贪,20
污,11
肖,1
舆,9
劾,8
威,36
胁,11
坛,13
江,22
忌,1
帷,1
幄,1
瞩,1
履,6
癌,2
莉,5
颅,1
疟,1
夭,1
折,4
哀,3
叹,2
典,6
畅,5
稿,3
晰,1
腺,1
霍,18
蛮,4
横,4
罕,3
钻,4
饰,5
劳,16
莱,16
俩,3
香,63
迪,15
拜,7
恩,36
摄,12
镖,1
戒,6
刮,1
痕,3
绰,2
斑,1
辱,6
秘,11
账,13
堡,3
娜,15
埔,3
贫,6
穷,6
锋,11
弗,3
刊,4
邮,6
掠,2
丰,10
塔,21
皇,13
封,3
觊,2
觎,2
迭,1
宏,3
彭,4
吉,48
勒,14
枫,1
巷,1
棺,1
钉,1
催,1
剂,28
陷,13
败,21
串,7
屹,1
焦,5
踪,1
哥,13
戈,10
辛,5
铲,1
昂,10
桑,4
帕,5
杉,1
矶,1
潘,2
宪,4
秩,2
蔓,1
粹,2
简,9
颁,8
冻,3
签,11
矿,2
酒,11
豁,6
央,55
委,92
跻,2
滑,3
蹶,1
印,41
钞,3
摆,5
膨,2
胀,5
币,15
狂,4
贬,1
储,3
兑,2
茨,2
卢,14
镑,5
塌,3
糊,2
涂,1
阴,2
贷,11
顿,19
置,16
纵,3
挠,2
荡,2
锁,9
迄,4
鲁,9
厉,5
峻,4
悼,2
逊,10
辜,5
抨,3
冰,8
坞,2
努,15
苦,6
爪,1
讶,1
骚,10
漏,1
曝,7
舒,2
俘,1
秋,2
筋,1
疲,1
剩,6
匿,2
尊,7
启,12
拒,24
傍,8
赤,3
债,18
溃,1
熊,3
驱,7
夕,1
哺,2
乳,3
殊,3
戚,3
奶,4
妨,1
倡,10
屡,3
牙,5
祉,1
鸣,1
喝,8
魁,5
殖,2
涌,1
迎,15
妙,3
迈,2
川,2
胜,61
吨,6
宇,4
雪,6
茄,1
夏,5
夷,6
镜,2
颗,3
轨,11
彗,1
岩,3
饱,3
宙,1
辐,1
颜,1
柏,1
绿,17
拢,1
倦,1
遗,3
憾,3
途,6
妥,2
厄,3
歧,16
岌,4
翼,3
肃,13
炳,4
弘,6
崔,10
措,25
壤,7
炮,8
腐,4
巩,5
姑,4
泽,2
浩,2
烨,1
杂,15
详,4
骤,3
甸,83
袒,1
村,12
庄,4
遍,3
荷,4
遣,10
敲,2
纽,34
削,6
疏,12
亟,1
堪,3
隧,1
挪,7
擎,2
刹,1
岗,4
税,16
剥,3
纾,3
森,18
髓,1
柱,5
肢,1
霜,1
虎,6
弄,1
瞒,2
烂,1
摊,2
籍,15
伍,8
祝,5
乃,5
淘,3
汰,2
堵,3
勾,4
彻,2
沃,3
奥,43
烟,7
霾,5
惧,2
脆,4
斐,1
袖,20
洼,1
飓,1
捣,1
喻,1
葬,2
舔,1
黎,5
沦,1
卜,1
吞,4
遵,6
丸,2
宰,3
滥,4
谨,2
浪,5
浙,1
拆,8
迁,5
块,5
坍,1
玻,2
璃,2
灾,15
辖,1
澎,2
湃,2
废,4
梦,3
蘑,1
菇,1
云,7
坑,2
侦,7
抽,3
毯,1
玉,11
桔,1
柠,1
檬,1
蜜,1
挺,1
漫,3
胖,9
糖,30
吧,5
贩,10
莘,2
虞,1
蒋,3
盐,1
脂,2
肪,1
蔬,2
汁,1
豆,4
浆,3
酪,1
汤,3
瘾,1
肥,7
浮,2
珠,7
征,15
茹,1
哦,1
嘛,1
诱,1
惑,1
崙,1
杨,7
乔,2
洽,1
昌,7
荼,2
蛇,1
潇,1
洒,1
扇,1
橱,1
绳,1
漆,1
垃,2
圾,2
堆,3
寓,7
砸,4
河,5
卸,4
喘,1
累,3
散,7
婿,2
娘,1
宠,1
狗,3
粮,2
怜,1
卷,6
铺,1
冬,11
辍,2
田,4
赚,2
灏,1
羊,2
漠,3
赁,1
辰,1
谓,4
赋,5
徙,1
诸,2
鹅,1
宿,4
帖,2
删,1
舟,1
贱,1
叼,1
渐,7
矛,2
盾,4
某,7
编,1
辑,4
傅,5
澈,4
逗,2
麻,1
烦,1
踵,1
尖,3
煎,1
熬,1
齐,4
既,5
缴,5
卓,1
撰,3
厌,1
圳,2
娥,2
宋,25
荆,1
粤,1
契,4
羔,1
俱,5
撑,3
谊,9
耀,8
邓,1
曲,3
劣,3
遏,2
仓,3
斥,3
粗,3
寒,2
澄,2
圆,1
割,3
厨,1
卧,1
虐,14
肯,7
戍,1
冯,5
俊,16
峰,6
役,8
猥,8
亵,8
谣,6
蔑,1
猖,1
剑,18
赃,1
掺,2
溯,1
蔺,1
曹,3
燕,2
植,1
漩,1
涡,1
诬,1
屁,4
腋,1
描,1
哽,1
咽,1
怕,3
弊,7
舰,10
诈,2
抹,2
殃,2
县,4
猎,7
俨,1
贼,1
撇,1
暗,2
昔,12
诫,1
痒,1
喜,1
档,2
扯,3
扁,1
渔,4
巡,4
逻,6
垒,3
菊,3
抬,1
刘,8
沼,1
缠,1
撕,2
孙,6
遮,1
崑,1
扫,2
炒,3
扛,1
邵,12
逝,2
宜,5
兄,4
弟,7
婶,1
哲,1
唱,4
甄,1
泣,1
姐,2
娄,7
俭,7
拓,4
旭,1
渊,2
陕,1
琨,5
孵,2
滴,2
涛,20
润,1
恬,1
洙,2
墉,2
赵,7
隆,15
恨,2
尝,4
贿,5
赂,2
慷,1
惟,1
驳,2
偶,2
娶,1
庙,1
凡,2
沸,1
翌,1
汪,15
猜,6
晋,5
沪,2
栗,1
俞,1
坤,1
媲,1
慑,9
覆,6
杜,10
枚,7
肩,2
御,2
斤,1
辽,1
屏,1
皆,2
庇,5
缉,4
辩,4
诋,2
峥,3
凭,2
辉,4
骗,4
框,2
渝,2
黔,1
桂,2
酋,1
牧,9
叠,2
泗,5
棕,4
钦,1
蓉,4
帆,2
链,2
宫,3
暨,1
挝,3
贺,1
殷,3
敌,10
僵,4
贡,15
喷,10
灰,9
惕,1
昆,1
呢,1
嘉,1
孔,10
僚,1
芥,1
蹄,1
葡,3
萄,3
凤,1
梨,1
枯,3
荚,1
莲,1
藕,1
姜,1
翁,14
淑,21
枝,8
梵,4
冈,4
廷,3
仰,3
炙,1
葛,1
缄,1
涨,7
哨,3
僧,3
佐,14
侮,2
罔,2
插,1
吾,9
甫,2
艾,5
襁,1
褓,1
羁,1
狱,13
屈,3
静,1
蒸,2
恫,4
棉,1
旋,1
囿,1
仇,2
拯,3
淫,5
囚,4
凿,2
捉,2
哗,1
疆,2
庞,5
酝,2
酿,2
寝,1
麾,1
丢,1
丑,5
铜,3
绒,1
莪,2
巫,9
谑,1
懈,2
盯,1
楚,2
曙,1
铢,6
渣,1
蒲,1
烙,1
疤,1
箭,3
爸,2
尸,4
屠,4
砍,1
殴,1
酷,1
扒,1
睹,2
卿,2
復,1
糯,1
肌,1
腱,2
並,1
敬,3
磋,3
甲,5
艘,1
艇,1
赞,1
函,1
煽,3
粉,1
掩,4
奔,2
驰,2
冠,55
鸦,1
雀,1
擂,1
氛,2
锦,3
翰,8
摘,7
衷,1
浦,9
秀,4
歇,4
橙,1
戴,3
铐,1
蹲,1
魔,1
蕾,1
恋,1
仔,1
鼠,3
闲,1
誉,5
靡,3
仁,3
慕,9
煌,2
忡,2
珊,6
娅,2
谎,1
惜,3
槛,1
舞,2
碑,1
伐,2
嫩,2
渺,1
茫,1
闷,1
甩,1
冕,1
馁,1
芒,2
嘘,1
捍,2
圭,1
臣,1
雯,13
撼,2
姚,3
荐,3
遂,1
柯,3
嘱,1
咐,1
扔,2
挡,3
抑,1
幽,1
挽,1
奏,1
搏,1
萎,1
栋,1
缘,4
尿,3
袱,2
斌,1
券,7
裔,3
矮,1
鸟,1
睐,1
橄,2
榄,2
擅,1
芬,2
衫,1
袍,1
靴,1
尴,3
尬,3
柬,2
寨,2
铃,2
劫,5
沮,1
逞,1
尾,1
弯,1
恙,1
杆,3
捏,3
臀,1
荒,3
谬,3
矩,1
擢,1
彬,1
凸,1
滋,2
琪,1
霸,1
疯,1
嚣,1
颠,1
砂,1
炉,1
颖,2
闪,1
翔,2
勋,3
渥,4
曳,1
柩,2
坟,1
薇,1
弦,1
钧,1
攸,1
恒,2
赎,2
欺,2
靖,2
豫,2
燊,1
晤,1
扭,1
蕙,1
牟,2
冀,1
