zi,N
檢,178
性,2360
輔,93
助,1761
看,582
下,3216
從,856
框,24
架,280
到,4072
另,761
範,194
圍,308
超,587
過,1427
軸,38
平,2600
至,2393
條,657
掃,37
描,185
模,577
式,2011
都,2507
每,845
透,212
天,2129
幅,104
千,428
赫,251
茲,97
頻,201
寬,100
間,1367
大,9651
部,6597
讀,236
論,835
只,1145
鐘,88
則,923
萬,555
由,3662
罩,12
此,2831
比,1803
何,611
乾,238
淨,50
塗,27
佈,231
效,526
磷,52
慢,72
速,736
監,207
呈,115
現,1397
種,1114
選,650
擇,97
播,484
放,1032
率,889
能,2676
做,460
最,2989
佳,133
匹,128
配,423
識,248
別,578
訊,203
開,1374
始,1449
顯,289
示,1031
容,918
即,1160
些,1778
記,417
錄,250
執,206
非,1203
常,1801
良,287
好,577
數,1333
品,1027
質,661
很,944
落,493
主,4916
輻,80
源,898
鋦,2
底,376
徑,122
口,1702
外,3257
樣,336
列,1440
獨,367
立,2913
系,1717
統,1348
含,415
感,388
自,3383
物,2694
收,1143
集,1214
連,678
脈,64
衝,156
隔,136
艙,7
內,1529
裹,24
持,1270
不,7591
斷,360
將,1411
信,1081
除,907
本,3121
氫,69
氦,23
鋰,7
側,106
鍍,3
金,1668
準,368
薄,84
致,769
背,228
景,471
噪,13
音,1076
逐,447
漸,216
增,689
加,2732
敏,105
減,139
少,1086
操,170
二,2267
就,1667
觀,529
當,1405
忙,38
碌,2
陽,575
宇,113
宙,52
倒,129
初,923
段,600
又,1075
雜,124
巴,1338
塞,672
迪,342
那,753
噴,15
室,496
督,441
發,2306
箭,292
際,747
型,937
己,504
參,1455
考,1353
結,997
导,4182
航,3224
菜,1289
单,1787
个,4324
人,12049
具,3090
名,4394
字,2592
间,2449
转,1550
换,1374
视,1741
图,1675
更,2383
多,5016
搜,1238
索,1657
帮,1260
其,6660
他,6422
项,885
打,1792
印,1762
出,5677
语,3609
言,2377
韋,42
賴,109
謝,102
吉,425
哈,609
匈,110
牙,375
利,2991
城,2035
鎮,212
該,533
距,323
布,1274
佩,136
斯,4183
里,2225
州,2797
負,321
責,312
轄,153
積,356
約,1026
居,625
民,5617
奉,222
教,2947
允,146
汝,26
武,1285
官,1165
员,1689
曾,994
短,249
暂,53
担,208
宰,74
详,33
豫,56
祖,470
为,5802
南,4062
朝,2230
梁,192
义,1073
衡,136
刺,185
史,1678
袭,99
蓬,27
陵,422
侯,179
父,380
基,1953
弱,147
冠,223
通,2577
过,1391
殿,175
试,206
进,1475
士,1369
延,411
载,244
左,415
肃,51
政,5068
御,131
丞,17
十,2160
右,343
台,1855
则,638
检,118
校,895
凤,106
阁,36
侍,63
郎,142
授,334
鳳,48
閣,150
鸞,3
臺,665
章,478
事,2583
实,837
质,449
证,327
圣,303
正,1958
酷,40
吏,59
司,1468
刑,167
卿,99
皇,983
甫,28
文,3923
疏,61
弹,220
劾,74
五,1263
豆,59
盧,80
欽,48
望,416
韦,86
巨,232
杜,223
儉,15
蘇,478
味,133
道,2363
附,346
会,3010
于,3418
后,2813
流,1171
权,831
李,791
昭,93
德,2898
且,789
未,833
匡,9
贬,11
与,1874
们,807
饮,50
宴,25
书,766
善,252
说,590
耻,3
君,353
如,2238
尧,19
舜,32
侄,9
三,2744
思,905
想,735
借,141
斥,73
责,280
却,118
这,1944
句,122
话,276
足,674
戒,72
怎,43
么,106
怪,34
罪,313
呢,34
卒,42
追,277
赠,17
贝,202
亲,269
七,495
诗,110
哀,28
悼,31
并,1486
写,261
时,3014
荣,131
评,188
价,199
参,1397
献,451
热,221
设,1105
备,334
产,1316
余,275
去,794
聚,194
积,363
来,1875
温,309
毁,137
坏,116
便,517
解,1350
决,576
问,461
题,446
发,2344
层,219
介,358
扮,50
演,738
犹,77
样,383
角,649
膏,12
础,146
还,665
风,472
扇,41
等,3238
东,1589
果,927
也,3277
强,443
盗,42
冰,157
箱,66
抽,76
走,255
达,876
低,576
从,910
传,693
气,558
学,3236
递,47
对,2123
辐,15
当,972
触,56
存,791
差,431
各,1614
处,624
止,596
点,698
采,303
材,311
块,91
鳍,11
状,213
结,613
构,416
途,162
类,695
然,1817
数,1306
离,329
开,1492
冷,153
路,1750
英,2697
簡,235
稱,1384
国,8701
陆,484
称,1230
关,970
香,755
港,1014
水,1367
氣,572
掣,5
或,2051
漏,41
遮,16
保,1350
護,319
亦,719
件,1016
防,672
嚴,260
載,229
業,826
會,3590
指,1521
壓,231
無,998
熔,30
絲,92
較,460
縮,67
寫,298
構,464
手,1234
扳,6
把,516
啟,108
跳,37
脫,98
故,494
排,476
往,776
否,294
普,980
彈,149
簧,6
消,557
弧,59
合,2964
預,228
儲,44
界,1635
瞬,9
受,1434
響,375
花,564
均,652
身,907
極,423
溫,247
柱,171
游,607
變,737
體,1425
培,188
鐵,296
強,603
場,982
佛,535
明,2546
彎,11
拉,1817
熄,5
滅,233
若,383
突,529
額,88
倍,132
類,783
特,3179
油,553
密,592
封,425
絕,274
緣,96
障,132
形,1637
早,593
熟,98
價,283
格,1462
宜,252
級,430
網,305
切,375
迅,191
靠,171
吹,34
场,827
电,973
灭,125
种,1126
断,216
狭,22
缝,8
内,1400
长,1947
终,309
头,230
闭,62
真,534
隙,40
绝,155
缘,50
体,1146
轻,126
适,127
频,101
繁,198
修,719
优,147
网,306
应,639
较,406
及,3730
交,1346
统,1279
户,181
装,432
供,630
矿,79
企,174
业,1601
厂,133
变,741
站,941
护,383
别,538
求,1057
无,667
柜,6
双,243
固,383
压,233
耐,56
維,641
皆,235
停,373
貯,7
僅,258
鮮,275
降,553
補,143
充,253
閘,4
屬,676
耗,91
貴,127
缺,307
採,272
狀,234
滿,299
證,271
必,617
單,662
般,543
雙,207
銅,33
值,674
曲,304
遇,197
吸,258
圖,487
圈,139
尚,300
卻,243
夠,138
克,2649
服,668
阻,196
尼,1778
緩,56
造,1108
氟,15
硫,70
代,3319
輸,185
規,435
據,525
者,2368
河,1095
镇,620
铅,15
山,1959
县,1161
江,1133
省,1587
治,2394
永,642
迁,142
汇,105
历,754
许,432
份,554
客,542
商,905
经,1367
闽,110
号,1313
八,688
衢,12
夷,84
茶,72
叶,186
运,979
恰,48
俄,699
广,1141
埠,14
云,197
华,1102
吴,270
樟,4
树,205
清,1542
带,462
纸,114
贵,165
连,288
术,713
批,588
家,3928
级,763
遗,157
抗,521
战,1934
争,691
区,2407
令,1116
驻,183
浙,147
赣,8
铁,632
复,471
鹰,13
厦,54
建,3176
遂,111
渐,149
没,520
今,1023
沿,282
岸,373
郑,83
街,348
堡,532
约,892
旧,155
仍,636
见,499
徽,140
派,1199
该,652
划,562
辖,350
狮,6
社,1499
黄,453
岗,66
湖,708
村,640
韩,376
虞,40
洋,511
田,435
龙,242
柴,63
玉,204
石,887
岭,84
渭,21
资,593
肯,150
卡,789
翁,36
赞,88
亚,1554
总,1132
贊,75
亞,1461
誉,70
洲,1392
族,1359
动,1718
老,398
尝,30
组,974
织,491
联,1295
盟,754
深,411
领,728
涯,61
罗,1086
府,2423
独,316
执,167
甘,208
暴,183
响,312
张,520
极,348
调,400
避,175
免,320
乱,137
边,318
境,607
侵,259
党,1464
济,429
铜,48
减,198
衰,114
退,386
逢,41
邻,59
哥,338
激,375
烈,284
宣,1315
紧,72
急,148
态,277
揽,3
军,3008
改,1574
选,584
举,435
失,655
败,170
坛,58
卸,19
返,227
支,1001
警,337
拘,28
捕,216
获,338
释,200
庭,443
卫,333
萨,280
兰,807
马,963
维,685
判,431
籍,265
舞,120
访,66
朋,51
友,355
坦,487
桑,86
尔,1828
签,76
署,375
协,304
议,820
毛,275
泽,154
提,1567
世,2999
论,553
召,266
霸,95
链,259
王,2237
机,1511
码,89
市,2715
占,586
万,772
泥,54
跑,87
滑,57
远,197
挥,197
灯,36
飞,403
昼,11
属,639
冬,132
春,239
季,422
输,183
局,867
粗,36
澳,552
门,774
替,168
班,475
缩,93
伦,337
众,318
意,1642
识,165
玻,93
瓦,538
际,642
观,369
察,593
弗,241
苏,620
冈,22
語,1552
朗,311
裁,296
轉,425
鍵,48
胡,293
洛,418
爵,156
康,646
顿,269
律,658
毕,86
軍,3301
着,502
阶,203
计,809
纳,561
拒,167
革,937
辞,66
职,797
隨,401
委,1458
宪,297
赦,18
犯,249
秘,276
罢,20
届,232
将,1274
兹,100
領,920
聯,1134
勝,221
神,1052
仙,177
尊,153
靈,87
寶,118
帝,1515
娘,36
紫,94
微,311
勾,63
陳,681
乙,173
救,148
苦,85
母,562
東,1186
斗,213
姥,4
玄,74
聲,318
川,491
百,589
九,609
陰,86
魁,29
嫦,3
娥,9
嶽,5
海,2988
龍,202
聖,450
冥,46
酆,1
閻,15
鬼,43
黑,357
白,823
遊,215
賢,56
盤,92
古,1631
女,703
媧,3
伏,87
羲,160
農,215
黃,295
純,117
師,454
驪,3
麻,93
姑,28
茅,24
托,387
塔,553
壇,46
帥,96
驅,63
魔,94
鍾,23
馗,1
營,446
弼,35
俗,158
泰,353
灶,5
福,865
祿,39
壽,72
財,138
隍,4
昌,356
醫,258
漳,62
澤,122
秦,363
爺,9
洪,190
虎,156
夫,858
註,245
巧,59
岳,50
穆,245
姜,28
董,116
歲,189
仰,143
甚,365
葆,15
青,465
渴,20
践,26
寻,61
找,158
植,294
药,127
研,929
究,846
命,1392
活,845
們,996
叫,137
漢,661
說,878
崇,436
哲,200
踐,27
煉,47
丹,365
木,479
區,1547
藥,177
創,290
製,302
粉,79
劑,75
寒,154
毒,157
害,367
礦,85
精,611
徐,159
萊,141
知,798
詞,427
渡,155
尋,60
覓,4
爐,24
炁,1
養,145
歷,575
展,1267
衍,85
風,372
問,557
掌,183
華,1341
遠,296
僧,67
徒,269
詐,16
騙,12
獻,290
富,366
岡,58
廠,178
綢,22
遺,171
群,765
縣,597
蹟,46
屆,153
概,247
況,222
島,700
彌,70
舊,305
宅,59
伊,914
勢,336
崎,18
跡,62
藤,74
荒,69
穴,30
仁,225
町,34
育,829
蠶,16
擴,156
躋,3
築,192
融,204
藝,274
貌,63
乃,128
專,331
房,343
屋,127
裡,319
涼,35
藏,352
洞,96
岩,118
縫,63
破,430
限,576
義,1251
隆,401
寺,209
域,683
姬,22
京,1000
鄉,188
箇,3
紀,563
念,521
園,268
爆,278
圓,115
頂,89
严,224
岛,665
奈,65
院,2316
琉,229
拜,349
銀,161
泉,183
象,621
徵,187
廟,86
林,1980
址,163
鋼,33
煤,65
炭,31
勒,646
柯,80
耶,333
宿,82
宗,930
沖,69
久,350
床,60
笠,11
禎,53
姓,189
朱,252
末,332
熹,15
异,154
弟,206
劉,240
氏,444
杖,15
殺,409
庶,21
撫,52
启,104
兄,134
册,60
駕,27
崩,45
嗣,37
丁,362
巳,8
勞,119
閱,77
奏,62
节,271
俭,14
祯,57
曆,126
显,225
铲,14
阉,3
诏,37
惜,34
疑,206
挽,28
农,406
眈,4
忧,14
患,152
甲,380
申,180
攻,876
缢,5
亡,538
岁,162
廷,326
予,273
庙,71
毅,59
威,805
弘,69
谥,20
绍,82
绎,5
刚,85
恪,16
揆,16
奋,22
敦,150
懋,14
孝,234
钦,36
守,566
襄,52
端,315
怀,119
庄,94
愍,12
葬,121
篤,9
孔,91
湯,35
虜,24
屢,18
陜,1
兵,1186
寧,213
靜,71
趁,21
勸,32
撤,295
宮,216
聞,381
覺,83
儒,72
庚,27
戌,10
寅,15
雖,291
廿,25
親,352
洵,1
臣,461
爭,612
才,535
勉,24
住,396
歡,83
刘,276
婢,3
討,129
厭,39
幼,146
幸,86
杀,234
抚,45
养,128
儿,503
贤,33
妃,62
兒,224
夭,10
唯,211
承,603
危,199
殷,41
勤,107
务,727
躬,2
偶,135
恙,2
临,231
竟,67
遭,376
辅,63
我,669
魏,257
忠,272
羽,51
翼,212
崔,53
秀,320
阳,385
隶,77
阜,43
监,186
盡,77
餘,234
死,708
禁,306
锢,2
冤,8
狱,30
黜,13
袁,76
焕,16
赐,27
宝,169
剑,47
託,33
付,152
辽,85
困,138
旱,52
赤,128
寸,55
草,286
汉,836
续,311
郡,570
志,595
记,517
陕,104
血,395
饥,15
秋,128
蝗,10
乡,339
略,379
涝,3
舍,106
禾,21
夏,344
蔽,18
驛,4
陝,40
饑,7
巡,168
按,250
食,618
吃,91
剝,17
樹,62
皮,221
腹,50
脹,12
耀,56
澄,23
吕,65
祺,12
書,797
盖,104
輓,2
午,143
辛,131
壬,9
野,292
吠,3
犬,17
敲,11
催,30
征,573
啼,4
鹃,2
尽,168
洒,4
鞭,17
扑,6
埃,388
几,324
烟,58
骨,122
燐,1
闻,143
哭,20
欲,54
穷,40
災,63
情,893
俱,77
寇,33
飢,13
闖,12
弃,101
孩,137
盈,40
漕,5
馳,9
抵,219
疫,43
盜,23
惟,43
陷,147
蕩,8
壁,129
蹂,3
躪,3
蒿,3
雞,16
耕,93
疾,150
夕,47
驚,30
逃,198
染,132
灾,48
脆,15
匪,25
剿,32
楊,141
鶴,4
疇,20
曹,122
詔,33
奇,304
瑜,24
昇,33
熊,69
燦,3
換,128
幹,102
虧,10
簣,1
難,244
眾,382
骚,15
扰,35
两,962
线,1144
费,205
餉,3
财,148
敷,8
饷,10
遍,204
哗,5
愎,3
屡,15
铸,41
错,64
专,814
宦,36
梦,24
述,428
礼,92
沈,101
翔,24
勇,81
营,318
朕,13
禦,49
舉,461
悉,59
私,174
協,410
艱,16
廉,197
遷,194
震,124
施,670
捉,17
讓,277
聽,128
耳,268
謂,86
煥,19
謀,127
講,152
終,316
傾,68
逞,1
囚,28
憤,31
誤,117
擅,28
忌,28
憚,4
認,955
怨,34
恨,46
譁,1
串,41
悲,45
劇,311
拾,14
益,302
峻,23
濫,12
趨,61
誅,13
戮,15
戰,1904
議,1054
鑒,20
宋,406
訓,132
談,165
恥,6
暗,139
杨,216
旁,88
告,552
訴,126
陛,17
师,383
辯,48
根,917
沙,740
松,239
锦,93
畴,26
满,263
泄,24
顶,120
嘆,7
吾,115
待,244
亨,261
願,146
斬,23
饒,28
跟,136
睿,17
邦,546
擔,270
罷,35
職,477
敗,306
駙,1
鞏,22
諸,194
恐,135
怒,56
纵,117
横,73
稀,67
标,508
觐,2
淮,87
荡,26
池,102
仅,291
围,272
墙,79
眼,135
杂,140
丛,13
听,89
鸡,18
鸣,21
狗,33
潸,1
泪,5
叹,5
息,323
祭,108
祀,41
难,235
阵,246
宫,178
祈,21
促,155
孙,167
赶,12
縊,3
殉,19
荊,23
蘄,8
吳,167
桂,135
伯,608
檄,5
衛,395
勳,110
投,686
淳,24
賊,14
梯,52
彰,43
堯,13
縉,1
彥,13
迎,147
樓,266
孟,73
兆,93
祥,112
酒,281
劍,47
戚,42
奎,41
逼,75
刃,9
槍,95
騎,81
亂,236
齊,123
納,399
鎖,38
斧,6
劈,3
拂,12
曉,18
映,97
钟,118
诸,186
误,63
稷,6
旦,110
奸,17
歪,12
脖,3
脚,30
穿,162
红,376
鞋,12
丑,25
恩,367
陪,47
吊,20
蓝,58
袍,9
屍,44
順,159
棺,10
許,594
睥,1
睨,1
貞,47
痛,78
梓,20
暫,59
厝,2
倪,16
璐,2
范,294
副,572
曜,9
凌,53
渠,52
麟,75
顺,138
驸,1
尉,82
巩,28
樂,315
炳,31
绅,15
趙,53
墓,142
禮,137
喪,38
諡,39
曰,74
莊,103
寢,9
爾,1456
袞,16
擬,51
懷,148
恭,25
淑,26
惠,178
興,385
輿,69
彙,72
編,264
典,484
卷,150
肅,33
牌,361
題,496
碑,163
詩,106
綜,63
組,927
熙,250
混,261
給,406
抄,26
訛,5
慎,48
鸿,30
拟,44
顧,109
錫,41
赵,160
紹,70
繹,7
剛,84
奮,26
逸,42
悔,24
秉,19
请,129
駁,32
敬,127
請,345
丙,48
唐,531
評,290
憂,42
耽,2
欠,24
绥,19
宁,356
闇,1
算,619
糟,9
孤,44
煬,4
恆,83
蒙,664
黨,1030
複,126
智,193
愚,18
蠢,8
苛,15
刻,230
寡,26
遽,7
措,81
轶,1
桌,16
诚,60
随,405
迫,301
绘,41
轴,55
披,14
悬,21
况,273
注,470
釋,211
誠,287
裕,61
茂,56
憲,236
纯,67
贞,28
洁,31
懿,17
靖,50
庆,143
悊,2
藩,179
魯,191
頁,64
鉅,13
鄒,4
丘,91
甌,3
郯,3
館,274
陶,159
滋,39
歸,210
蔡,114
慶,117
鴇,4
韓,321
貫,62
呼,237
她,194
嬪,15
嫡,17
揀,2
穎,8
愃,2
嘉,253
孫,141
折,108
璿,4
慈,51
禧,33
享,153
虛,50
啓,16
剧,405
姫,1
希,1017
譯,121
貝,128
什,249
瑟,167
鉛,9
砷,6
尖,49
棉,139
纖,23
衣,135
零,172
壞,89
候,507
週,196
雪,158
雨,164
潮,182
濕,36
燥,17
炎,104
姐,26
妹,55
峽,47
賈,54
认,664
橫,38
跨,117
歐,467
易,664
娜,90
墨,154
狂,49
沼,40
寂,5
盛,315
谷,122
駐,185
紮,13
殖,170
購,116
險,73
例,951
势,347
敌,100
欧,382
遵,88
婚,232
姻,75
諮,28
詢,51
濱,15
鄰,62
贯,42
宽,75
冲,194
阔,30
伸,113
湾,216
毗,35
拔,116
湿,292
奥,427
吞,87
鲁,389
森,427
覆,136
柏,200
堂,360
既,110
詳,53
濟,371
亿,138
虾,6
蔗,12
禽,9
蛋,109
奶,21
稻,41
渔,57
鲱,3
鱼,145
牡,40
蛎,1
螃,2
蟹,12
磺,4
酱,11
汁,23
辣,10
销,142
售,225
创,305
办,377
畔,29
泊,81
货,113
旅,389
尤,203
据,771
估,184
莫,266
策,481
轨,165
摄,82
棚,18
艺,199
训,103
税,115
给,285
补,119
贴,17
缴,15
涨,16
飓,2
丰,131
现,1252
储,97
页,58
井,98
钻,9
炼,30
纪,565
努,182
贮,4
液,123
振,175
归,176
币,47
蓄,41
贷,6
款,138
银,109
摆,20
脱,104
團,673
籃,34
涅,90
狄,71
佐,71
爱,315
荷,276
诺,252
艾,228
堪,45
薩,278
缅,32
歇,50
拿,411
罕,104
纽,84
亥,64
賓,112
腊,175
撒,114
玛,109
扩,147
瓜,74
庸,37
娶,18
淹,23
男,335
继,284
队,924
奧,441
条,585
干,367
预,177
叙,219
腓,47
厉,23
洗,68
劫,30
兴,562
束,337
词,424
乔,103
赛,497
庞,16
凯,61
帕,150
袖,130
猶,175
羊,84
锅,24
圆,70
洼,7
坑,52
径,105
陡,12
峭,10
埋,46
沉,122
砂,18
砾,4
塌,20
幻,32
艦,107
绕,57
挑,67
诞,35
唆,6
丧,39
舰,599
阴,47
谋,152
鸟,22
栖,15
昆,72
虫,123
爬,14
肉,220
脊,64
猿,19
灵,94
艮,4
鲸,84
歌,329
声,272
谈,108
虚,24
击,669
蜂,23
寿,79
雌,50
雄,249
够,163
卵,49
某,296
泌,34
让,141
拥,184
休,203
話,466
檀,8
鲜,442
沂,25
桓,60
摩,521
烏,182
蘭,984
賽,678
隊,1283
戴,132
贏,35
躍,58
杯,154
舒,86
榮,123
譽,63
役,441
旗,848
擁,218
拼,70
妾,14
踪,31
择,79
废,192
颁,43
弊,29
坚,108
削,86
割,184
乖,3
叛,152
赏,37
泾,12
仓,27
软,121
卢,95
泚,2
讨,93
逆,112
伐,178
朔,36
杞,6
畏,40
拨,15
铤,1
险,96
晟,9
艰,11
颇,30
番,100
团,530
驾,26
彻,32
帅,55
确,292
贪,16
婪,5
库,216
赋,29
帑,4
贡,102
弥,71
逝,122
辩,41
喜,161
欢,52
诘,1
劣,60
陈,351
辄,2
忿,4
忆,31
虽,208
静,56
晏,37
彼,275
殆,5
嫔,7
贈,20
涂,78
译,95
姆,326
裔,123
奠,46
鉴,42
刊,216
拓,196
版,578
確,332
熏,5
習,240
決,628
棄,124
恶,72
沾,7
病,528
窘,9
绩,54
黎,251
饶,16
谊,12
雏,11
阅,52
读,124
宾,106
浓,30
厚,96
趣,76
厌,14
倦,8
习,263
畢,69
赴,82
冯,90
验,213
聘,32
藉,98
粹,191
招,105
博,522
阐,26
规,579
案,807
驱,91
愿,191
席,460
虑,74
谓,55
倾,55
妙,44
奔,61
简,189
谨,11
掀,20
舆,23
伍,107
惨,28
疆,167
噩,1
伤,193
溃,10
竭,20
园,222
涉,212
猎,35
械,109
競,106
穩,104
趋,43
互,286
淡,75
擷,2
殊,150
须,147
萌,13
係,288
鬆,20
緊,58
適,140
环,273
騰,13
節,398
詮,9
惡,93
姪,7
牟,14
陀,157
腾,24
报,692
抱,52
秩,42
序,402
罚,36
健,185
惩,26
捍,10
罰,54
揭,66
凱,86
越,839
權,976
礎,100
截,113
杰,128
貢,96
禄,41
浴,9
墟,37
沃,190
购,61
筑,261
枢,50
琳,71
嫁,38
丽,173
檐,36
饰,38
笃,10
碧,29
债,33
邮,50
搬,30
店,177
厅,113
板,347
藻,58
椭,12
詹,75
蒂,131
伟,48
画,116
晋,187
隋,137
炀,2
仪,126
坐,169
兼,324
桥,224
露,170
珊,62
瑚,24
礁,70
嶼,40
漁,41
淺,32
灘,62
菲,257
邏,22
惯,43
顛,21
愛,315
准,505
邑,36
衔,57
绑,10
擢,3
升,463
禹,48
脉,102
颛,3
顼,2
喾,1
契,66
頌,6
汤,50
徙,31
階,255
卦,3
寓,21
纂,41
夺,131
榜,51
忽,68
哉,10
涌,40
幢,5
異,224
楚,284
篡,19
趾,8
裏,55
谱,70
伽,90
乘,285
紅,271
睛,28
偵,44
細,281
裂,192
雲,163
核,327
緲,7
釷,4
耦,8
曼,623
藍,101
夸,21
遞,49
諧,10
媒,290
狹,27
窄,34
膚,24
旋,149
脂,123
肪,55
勻,11
釐,16
敵,154
湊,4
層,365
滴,8
辨,51
橙,11
綠,85
靛,2
腦,114
樞,33
亮,131
輪,83
廓,8
顏,40
損,104
矽,11
蘊,10
療,93
曬,2
傷,244
胞,275
假,286
癌,39
誘,11
掉,75
漠,66
臭,20
氧,208
硬,147
診,127
環,515
繞,71
優,132
晶,51
仔,40
鐳,3
菌,374
症,125
沟,63
贫,41
车,673
汽,284
霍,330
爷,11
旬,56
彦,17
乌,231
负,242
筹,34
琨,7
葛,79
纲,68
扎,89
嘎,7
慕,332
屯,132
卓,59
冀,25
针,96
汗,262
窩,14
闊,17
帖,44
卧,29
鞑,6
靼,8
俺,3
答,121
剌,38
俘,343
兀,19
噶,88
扈,21
喀,126
雅,267
盆,40
羌,22
邛,5
崃,1
芦,9
荥,13
棱,24
雍,88
苍,13
坪,30
络,75
廊,57
濆,1
颐,5
阙,4
茨,165
煙,85
粵,72
燒,78
霧,17
霚,1
肺,34
菸,5
葉,134
紙,101
捲,15
娛,39
蒸,78
織,422
閩,245
留,462
仿,67
殘,58
韻,68
屈,160
苗,64
殁,3
兮,16
瑕,24
秭,12
谶,2
闾,3
嫉,5
妒,7
谗,2
齐,230
缔,22
轸,2
劝,9
骗,8
贿,7
赂,2
靳,11
斩,12
怕,35
俩,2
顷,46
鼓,158
狼,43
睢,21
扣,32
抛,23
讲,84
郢,20
朽,8
唱,141
汨,4
粽,4
舟,41
喝,27
胥,11
匄,2
辭,88
誦,11
忘,32
賤,7
貧,32
騷,18
陬,1
辰,44
覽,54
肇,25
凡,104
符,232
辟,30
傑,107
聰,20
嫻,5
尹,39
寵,12
鄭,98
錢,65
賄,7
賂,3
欺,27
昏,23
貪,24
縱,35
堅,176
辱,22
罵,13
您,20
麼,90
報,516
裨,1
佔,323
稍,58
醒,24
悟,18
胸,29
竹,90
糊,25
蹤,17
棘,6
違,88
昧,11
邀,78
雎,1
慫,5
恿,7
咸,91
脅,68
巫,30
黔,15
頃,32
憐,5
憫,2
闕,5
慮,61
忍,43
膝,7
抒,5
眷,13
繫,49
讒,2
僻,7
遙,18
浦,148
握,88
俯,16
敢,58
妥,53
錯,80
邪,24
鄧,78
狽,3
愆,3
仲,278
倉,39
惶,7
瘡,1
痍,1
鄂,51
渚,4
溯,54
沅,16
枉,4
陼,1
溪,97
溆,1
湘,64
悶,7
浮,56
潭,19
吟,8
憔,1
悴,1
枯,17
槁,3
閭,2
濁,10
醉,17
凝,59
滯,8
淈,1
揚,74
餔,1
歠,1
釃,1
沐,4
汶,20
魚,74
皓,7
塵,30
莞,10
笑,47
枻,1
滄,5
浪,103
濯,2
纓,2
篇,94
禍,16
潔,29
污,109
誹,2
謗,4
擊,643
妄,20
叩,4
閽,1
偉,53
綺,3
麗,83
絢,2
爛,6
吐,62
漫,65
濃,33
喻,38
幽,36
壯,29
宏,69
敘,174
橘,9
颂,12
綸,2
淪,13
沛,18
寄,26
蕪,3
鬱,23
漵,1
伶,8
仃,3
戀,81
愁,4
股,192
遣,167
惸,1
歎,1
鳥,24
凋,12
賦,37
徬,1
徨,1
搖,20
潰,38
績,66
窮,34
顾,76
頡,7
套,114
雛,6
殤,5
魂,35
尾,229
犧,10
牲,31
慘,23
誇,9
疊,36
仗,21
弄,23
撰,55
椿,10
鑑,20
鹏,15
燕,219
乐,246
贾,50
贽,2
轼,4
谮,2
愬,1
坤,29
憾,14
廖,65
卜,52
誰,22
侃,6
驳,22
伪,28
郭,91
沫,9
鐸,7
撈,7
嚇,17
練,173
蛟,4
搶,20
楝,1
佑,24
貿,140
练,71
累,67
逻,38
闪,7
迹,62
谕,7
隸,80
仇,65
氐,12
衆,23
晉,143
隴,10
驹,10
匯,39
蜀,52
扶,40
甥,3
狐,5
爲,96
鬥,143
苻,52
婿,15
驤,2
乞,16
祁,6
幫,85
謙,11
坎,112
昂,66
灰,73
堊,3
旺,58
卑,42
细,329
芽,17
孢,9
粘,14
剩,101
梨,16
